text,sql
"Коэффициент полезного действия энергопотребляющих установок завода","SELECT plant_id, energy_output/input_energy_consumption AS efficiency_coefficient FROM EnergyPlants;"
"Формула расчёта амортизации основных фондов производственного предприятия","SELECT asset_id, initial_cost-(depreciation_rate*asset_age) AS depreciated_value FROM FixedAssets;"
"Эффект внедрения инновационной технологии на производительность труда сотрудников","SELECT innovation_project, productivity_gain FROM InnovationImpactAnalysis WHERE impact_category='positive';"
"Индекс развития человеческого капитала региона с учетом демографического фактора","SELECT region_id, human_development_index/(population_density+age_dependency_ratio) AS development_index FROM HumanCapitalIndex;"
"Сложность управления проектом по показателям неопределенности и риска","SELECT project_id, uncertainty_level+risk_factor AS management_complexity FROM ProjectManagementMetrics;"
"Уровень занятости населения по регионам с распределением по секторам экономики","SELECT region, sector, employment_rate FROM EmploymentStatistics;"
"Оптимизация цепочки поставок путём анализа задержки сроков отгрузки","SELECT supply_chain_stage, delay_days FROM SupplyChainLogistics WHERE delay_reason='late_delivery';"
"Мониторинг температуры окружающей среды на объектах инфраструктуры с уведомлениями","SELECT location_id, temperature, CASE WHEN temperature>threshold THEN 'alert' ELSE 'normal' END AS alert_status FROM EnvironmentalMonitoring;"
"Географическое распределение источников финансирования научно-исследовательских проектов","SELECT funding_source, geography, COUNT(*) AS project_count FROM ResearchProjects GROUP BY funding_source, geography;"
"Скорость реагирования служб безопасности на инциденты информационной системы","SELECT incident_type, response_time FROM SecurityIncidentResponseTimes WHERE response_time<(SELECT AVG(response_time) FROM SecurityIncidentResponseTimes);"
"Степень удовлетворения потребителей качеством предоставляемых услуг","SELECT service_provider, satisfaction_score FROM ConsumerSatisfactionSurveys WHERE survey_year=CURRENT_YEAR;"
